id,title,url,date,description,personas,barriers,barrier_theme,tags,publisher,type,featured
ai-augmented-workforce-2025,AI Augmented Workforce: A Leader’s Guide to Unleashing Human Potential,https://scaledagileframework.com/ai-augmented-workforce-a-leaders-guide-to-unleashing-human-potential,3/1/2025,"Scaled Agile Framework’s guidance defines an AI‑augmented workforce as employees using approved AI tools to reduce repetitive tasks, improve quality, drive innovation and focus on creative work; these benefits require employees to have authority, resources and training.  
 The article explains how AI improves job satisfaction and productivity across roles such as Scrum masters, product managers and portfolio leaders, and outlines five steps for leaders to build an AI‑augmented workforce—identify use cases, ensure responsible AI use, measure impact, invest in upskilling and foster a culture of innovation—while warning against burnout, shadow AI and over‑reliance on AI without human oversight.",Business|Programme,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,ai-augmented-workforce|agile|training|responsible-ai|culture,Scaled Agile,report,
ai-in-epc-white-paper-2024,AI in EPC Industry White Paper,https://example.com/ai-in-epc-white-paper,1/1/2024,"The International Advisory Partners’ white paper describes how artificial intelligence enhances efficiency, accuracy and safety throughout the engineering, procurement and construction (EPC) project lifecycle.  
 It highlights applications such as AI‑driven design optimisation, predictive risk analytics, construction‑site monitoring with drones and computer vision, AI‑based supply‑chain optimisation, defect detection and lifecycle asset management, and includes case studies of Bentley Systems’ GenerativeDesign tool and Komatsu’s SmartConstruction platform.",Business|Programme,digital-and-tech-constraints.legacy-systems-and-technical-debt,digital-and-tech-constraints,epc|construction|ai-applications|design-optimisation|case-study,example.com,report,
ai-in-built-world-investment-2024,AI in the Built World: Investment in AI,https://aoresearch.com/insights/ai-in-the-built-world-investment-in-ai,9/1/2024,"A/O Research’s investment report analyses venture funding and adoption trends for AI in the built environment.  
 It notes that AI‑enabled built‑world start‑ups in Europe and North America raised US$18.6 billion over the past decade—with $8.6 billion in the last two years—and that London leads by deal count while the Bay Area leads by capital invested; climate technology, ESG reporting and energy assets are the fastest‑growing AI applications alongside AEC software, smart buildings and real‑estate inspection.  
 The report highlights that generative‑AI applications are emerging but face challenges due to heterogeneous, context‑specific data and that digitisation and automation remain short‑term priorities, while AI ecosystems of robotics, IoT, NLP and generative models enable digital transformation and decarbonisation across the built world.",Business,leadership-and-alignment.vision-without-business-case,leadership-and-alignment,investment|built-environment|venture-funding|climate-tech|decarbonisation,aoresearch.com,report,
ai-insights-agentic-ai-2025,AI Insights: Agentic AI,https://www.gov.uk/government/publications/ai-insights/ai-insights-agentic-ai-html,9/1/2025,"This AI Insights guidance defines agentic AI as autonomous systems composed of specialised agents enhanced by large language models that can plan, select tools and execute tasks.  
 It explains that agentic systems bring adaptability, extensibility, dynamic routing and improved automation but also create risks such as loss of human oversight, premature deployment, architectural complexity, volatile frameworks, inconsistent outputs, opaque decision‑making and high development costs.  
 The guidance recommends mitigations including modular composition, interface contracts, explainable AI with audit trails, thorough testing, profiling and alignment with business needs.",Business|Programme,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,agentic-ai|autonomous-systems|risk-mitigation|llm|ai-guidance,UK Government,article,
ai-insights-agentic-rag-2025,AI Insights: Agentic RAG,https://www.gov.uk/government/publications/ai-insights/ai-insights-agentic-rag-html,9/1/2025,"The AI Insights article introduces agentic Retrieval Augmented Generation (RAG), explaining that traditional RAG slices documents into vector embeddings for retrieval, while agentic RAG adds autonomy by iteratively identifying gaps and issuing further queries until outputs are complete.  
 It describes how agentic RAG systems refine reports through a cycle of drafting, gap identification and refinement, but warns of risks such as runaway iterative loops, debugging challenges, data quality and bias issues, and language‑model confabulation; robust termination criteria, audit histories and extensive testing are recommended.",Business|Programme,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,agentic-rag|retrieval-augmented-generation|iterative-ai|risk|testing,UK Government,article,
ai-insights-agentic-workflow-2025,AI Insights: Agentic Workflow,https://www.gov.uk/government/publications/ai-insights/ai-insights-agentic-workflow-html,9/1/2025,"The Government Digital Service explains that agentic workflows introduce autonomous AI agents into traditional workflow systems, allowing dynamic task decomposition, adaptive collaboration and continuous execution across multi‑agent teams.  
 Examples include logistics management, personal scheduling assistants and travel planning; however, risks include a lack of transparency, unintended behaviours and reliance on underlying language models that may hallucinate or embed biases.",Business|Programme,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,agentic-workflow|autonomous-agents|workflow-systems|transparency|risk-management,UK Government,article,
ai-insights-integrated-agents-2025,AI Insights: Integrated Agents,https://www.gov.uk/government/publications/ai-insights/ai-insights-integrated-agents-html,9/1/2025,"This guidance defines integrated agents as AI‑driven assistants or automation tools embedded into software to perform tasks such as drafting documents, managing spreadsheets and scheduling meetings.  
 It distinguishes between agentic AI, traditional software agents and visual agent interfaces, and warns of risks including data leakage, ungoverned automation (shadow IT) and lack of responsible design; guidelines recommend responsible entity creation, clear business justification, validation, inventory maintenance and continuous monitoring of agent behaviour.",Business|Programme,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,integrated-agents|automation|shadow-it|governance|ai-tools,UK Government,article,
ai-insights-synthetic-data-2025,AI Insights: Synthetic Data,https://www.gov.uk/government/publications/ai-insights/ai-insights-synthetic-data-html,9/1/2025,"GDS’s AI Insights piece explains that synthetic data are artificially generated datasets designed to mimic real‑world data while preserving statistical properties, used to address data quality, bias, privacy and rare event issues.  
 It notes that synthetic data help rebalance datasets and simulate rare events but warns that poorly generated data can introduce unrealistic patterns and bias; responsible development requires continuous validation, fairness assessments, version control and documentation.  
 The article emphasises that synthetic data complement rather than replace real data and must be combined with real‑world testing.",Business|Programme,data-pooling-and-interoperability.incompatible-data-formats,data-pooling-and-interoperability,synthetic-data|data-privacy|bias-mitigation|dataset-generation|responsible-ai,UK Government,article,
ai-insights-prompt-risks-2025,AI Insights: Prompt Risks,https://www.gov.uk/government/publications/ai-insights/ai-insights-prompt-risks-html,4/1/2025,"This spotlight article warns that generative AI systems are vulnerable to “prompt injection” attacks, where malicious instructions hidden in user input or embedded content can override safety rules and extract confidential information. The guidance explains that static prompt templates are not enough—attackers can manipulate the large language model’s context to reveal secrets or execute unauthorised actions—and that organisations must treat both public and internal systems as attack surfaces. It highlights “jailbreaking” techniques that circumvent safety constraints and recommends continuous testing, cross‑functional security processes, training and rigorous auditing to limit vulnerabilities and ensure responsible AI use.",Business|Project,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,prompt-injection|jailbreaking|ai-security|attack-vectors|ai-ethics,UK Government,article,
ai-insights-introduction-2025,AI Insights: Introduction,https://www.gov.uk/government/publications/ai-insights/ai-insights-introduction-html,4/1/2025,"This introductory guidance explains that the AI Insights series is a collection of articles from the Government Digital Service to help UK public sector organisations implement artificial intelligence effectively, safely and securely. It notes that AI adoption is a priority for government but brings limitations and risks, so the series complements the AI Playbook by covering topics not addressed in the playbook—such as safeguarding, evaluation metrics, prompt engineering, chatbots and agentic systems—and will be updated every two months to reflect policy and technology developments. The article emphasises that the content is aimed at both technical and non‑specialist audiences and encourages readers to join cross‑government AI communities and use AI guidance alongside organisational policies.",Business,data-pooling-and-interoperability.privacy-and-ip-concerns|leadership-and-alignment.misaligned-metrics,data-pooling-and-interoperability|leadership-and-alignment,ai-insights-series|public-sector-ai|ai-playbook|government-guidance|skills,UK Government,article,
ai-playbook-principles-2025,Artificial Intelligence Playbook: Principles for the UK Government,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html,2/1/2025,"The UK government’s AI Playbook sets out ten principles for responsible AI adoption. It urges teams to understand what AI can and cannot do and to recognise that current models lack reasoning and contextual awareness; civil servants must learn how to use AI tools safely and test them for accuracy. The playbook stresses lawful and ethical use of AI—consulting legal and data protection experts, addressing bias and environmental impact—and insists that AI services be designed to meet security standards, with safeguards against data poisoning, prompt injection and hallucinations. Further principles require meaningful human control at appropriate stages, managing the full AI life cycle, choosing the right tool for each job and fostering openness, collaboration and commercial engagement to ensure skills and assurance frameworks are in place.",Business|Programme|Project,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,ai-playbook|responsible-ai|principles|public-sector|ethical-guidance,UK Government,playbook,
ai-powering-productivity-uk-2025,AI: Powering Productivity in the UK,https://www.celonis.com/insights/reports/business-productivity,1/1/2025,"Celonis’s 2025 UK Business Productivity report surveys 500 senior leaders and finds that economic headwinds, employee stress, difficult technology implementation and digital skills gaps are the main barriers to productivity. Around 39% of respondents say AI‑enabled solutions and process intelligence tools already help employees be more productive, and nearly half of businesses are investing in AI to automate manual processes, reduce errors and free staff for higher‑value tasks. The report argues that AI, hybrid working and upskilling can boost growth, and it offers case studies where AI improves quality control, compliance and risk modelling while cautioning that companies must invest in skills and change management to realise these benefits.",Business,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,productivity|ai-investment|process-intelligence|business-survey|uk-economy,Celonis,report,
ai-ready-data-essentials-2024,Roadmap: AI‑Ready Data Essentials,https://cbgmanagementcoaching.co.uk/wp-content/uploads/2024/12/Gartner-ai-ready-data-roadmap.pdf,12/1/2024,"Gartner’s roadmap argues that many generative AI projects fail because data is poor quality, ungoverned or misaligned with business goals. It defines “AI‑ready data” as a continuous practice of aligning, qualifying and governing data and warns that up to 30% of generative‑AI projects will be abandoned due to inadequate data quality, unclear value or high costs. The guide presents a five‑stage approach: assess data requirements and prioritise AI use cases; present these needs to leadership for investment and alignment; evolve data practices with metadata, semantics and RAG techniques; extend the data ecosystem with improved literacy and semantics; and scale with cross‑functional governance, continuous quality management and compliance monitoring. It emphasises cross‑functional collaboration among CIOs, CDAOs, data engineers, security teams and procurement to build trustworthy, interoperable data.",Business,data-pooling-and-interoperability.incompatible-data-formats,data-pooling-and-interoperability,ai-ready-data|data-governance|data-quality|roadmap|generative-ai,cbgmanagementcoaching.co.uk,report,
apm-bok-data-analytics-ai-2025,APM BoK 2025: Data Analytics & AI in Project Management,https://www.apm.org.uk,1/1/2025,"This chapter from the Association for Project Management’s Body of Knowledge explains that projects generate large amounts of unstructured and siloed data, and that data analytics and AI can transform this into evidence‑based insights. It describes how AI improves decision‑making by predicting risks, delays and cost overruns, automates tasks such as scheduling and progress tracking, enhances collaboration and communication and supports cost and time savings. The guidance stresses that AI adoption must start with clear use cases and robust data strategies; it highlights ethical concerns, human oversight and environmental impacts, and warns that poor data quality (“rubbish in, rubbish out”) undermines AI outputs. It calls for upskilling the workforce, ensuring data availability and comparability across supply chains and measuring progress towards AI‑driven project management.",Business|Programme|Project,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,project-management|data-analytics|ai-benefits|ethical-ai|upskilling,Association for Project Management,report,
ai-in-uk-construction-2025,Artificial Intelligence in UK Construction,https://www.ceca.co.uk/ceca-launches-landmark-artificial-intelligence-in-uk-construction-report,5/1/2025,"The Civil Engineering Contractors Association’s report on AI in UK construction acknowledges that AI can deliver better design optimisation, improved safety and faster project delivery, but warns of over‑reliance on technology, cybersecurity threats and ethical concerns. It offers ten recommendations, including promoting existing AI standards, undertaking a construction‑specific risk review, setting up confidential risk reporting, fostering cross‑industry collaboration through an AI community, developing a coordinated implementation plan, and providing role‑specific training on AI, security and ethics. The report emphasises that AI should support human decision‑making rather than replace it and calls on the sector to upskill the workforce and ensure responsible governance.",Business|Project,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,construction|ai-adoption|risk-management|training|industry-report,Civil Engineering Contractors Association,report,
ai-knowledge-economy-2024,Artificial Intelligence in the Knowledge Economy,https://arxiv.org/abs/2312.05481,4/1/2024,"Economists Enrique Ide and Eduard Talamàs model AI as an algorithm that mimics human knowledge within hierarchical firms to study how AI affects the organisation of work. They show that AI not only displaces some workers but also changes the way managers and workers are matched: when AI acts as a worker it becomes the most knowledgeable worker supervised by the best humans, and when AI acts as a manager it reorganises firms and alters the matching patterns. The paper argues that AI simultaneously substitutes and complements human labour, increasing total labour income but creating winners and losers; organisational effects therefore matter, and AI adoption may expand firm size, shift wages and decentralise decision‑making.",Business,data-pooling-and-interoperability.privacy-and-ip-concerns|leadership-and-alignment.misaligned-metrics,data-pooling-and-interoperability|leadership-and-alignment,knowledge-economy|labour-market|manager-worker-matching|economics-of-ai|organisational-change,arxiv.org,report,
ai-playbook-uk-government-2025,Artificial Intelligence Playbook for the UK Government,https://www.gov.uk/government/publications/ai-playbook-for-the-uk-government/artificial-intelligence-playbook-for-the-uk-government-html,2/1/2025,"The UK government’s AI Playbook provides guidance for civil servants using AI. It sets out ten principles – including knowing what AI is and its limitations, using AI lawfully and ethically, ensuring security, maintaining meaningful human control, managing the AI life cycle, selecting appropriate tools, being open and collaborative, working with commercial colleagues, ensuring skills and expertise, and aligning AI use with organisational policies. The playbook cautions that AI systems lack reasoning and may produce inaccurate results, so officials must learn about AI, understand its risks, seek legal and ethical advice, and employ safeguards to mitigate biases, privacy concerns and AI‑specific threats such as data poisoning or prompt injection.",Business|Programme|Project,risk-ethics-and-assurance.lack-of-structured-assurance-mechanisms,risk-ethics-and-assurance,ai-playbook|government|principles|ethical-ai|ai-governance,UK Government,playbook,
bridgeai-business-ai-framework-2024,Business Applications of AI: Framework to Categorise AI Use Cases,https://iuk-business-connect.org.uk/opportunities/ai-use-case-framework/,3/1/2024,"This briefing from The Alan Turing Institute’s BridgeAI programme presents a framework to help businesses categorise AI use cases. The framework groups nine categories of information into four dimensions – organisation, AI system, input data and economic sector – to create a structured view of AI opportunities. It distinguishes between product‑/service‑centric and process‑centric applications and lists the business functions that AI can support (e.g., accounting, customer service, logistics, HR and research & development). The AI system dimension captures capabilities such as goal‑directed action, recognition and detection, generation, optimisation, prediction and simulation, along with the operating environment (virtual vs physical) and readiness levels from hypothetical to operational. The framework highlights that AI adoption potential is highest in sectors like agriculture, construction, creative industries and transportation, which face high deployment costs and skills gaps.",Business|Programme|Project,leadership-and-alignment.vision-without-business-case,leadership-and-alignment,ai-use-cases|framework|bridgeai|categorisation|business-applications,iuk-business-connect.org.uk,guidance,
aws-caf-for-ai-2024,"AWS Cloud Adoption Framework for Artificial Intelligence, Machine Learning and Generative AI",https://aws.amazon.com/blogs/publicsector/working-backwards-from-generative-ai-business-value/,2/1/2024,"AWS’s Cloud Adoption Framework for AI (CAF‑AI) outlines a method for organisations to derive business value from AI. It advises leaders to work backwards from the desired business outcomes, define expected benefits, plan organisational transformation and build foundational capabilities for AI adoption. The framework emphasises six critical perspectives – business, people, governance, platform, security and operations – and recommends structured assessments, such as Cloud Maturity Assessments and executive briefings, to align AI initiatives with strategic goals.",Business|Programme|Project,leadership-and-alignment.vision-without-business-case,leadership-and-alignment,aws|cloud-adoption|framework|ai-strategy|governance,Amazon Web Services,guidance,
breaking-away-scaling-analytics-2018,Breaking Away: The Secrets to Scaling Analytics,https://www.mckinsey.com/,1/1/2018,"McKinsey’s analysis highlights that fewer than 20% of organisations succeed at scaling advanced analytics. Breakaway companies align on a clear analytics strategy, invest heavily in building data, technology and talent foundations, and focus on the “last mile” of embedding analytics into workflows and decision‑making processes. Most firms capture small gains from isolated use cases but fail to embed analytics across the business; breakaway firms spend more of their analytics budgets on integration and scaling, enabling them to reap larger productivity benefits.",Business|Programme|Project,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,analytics|scaling|strategy|last-mile|data-foundations,EY,report,
ciob-ai-playbook-2024,CIOB Artificial Intelligence (AI) Playbook 2024,https://www.ciob.org/industry/research/AI-Playbook,6/1/2024,"The Chartered Institute of Building’s AI Playbook outlines how artificial intelligence can transform the built environment. Members of CIOB’s Digital & Innovation Advisory Panel explain that AI offers vast opportunities for designing, constructing, operating and reusing buildings and infrastructure, and they provide insights and practical applications for using AI in construction workplaces. The playbook includes a resources section and an AI use case template to help organisations identify business goals, user needs, data sources, expected benefits, risks and evaluation metrics.",Business|Programme|Project,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,construction|ai-playbook|ciob|built-environment|use-case-template,Chartered Institute of Building (CIOB),playbook,
ai-insights-series-introduction-2025,AI Insights: Introducing the GDS AI Insights Series,https://www.gov.uk/government/publications/ai-insights/ai-insights-introducing-the-gds-ai-insights-series-html,4/1/2025,"The UK Government Digital Service (GDS) launched the AI Insights series to help public‑sector teams use AI safely and effectively. The introduction explains that this series complements the AI Playbook by exploring topics not covered elsewhere—such as evaluation metrics, safeguarding and agentic AI—and aims to serve both technical specialists and non‑specialists across government. Articles are published approximately every two months and readers are encouraged to join the cross‑government AI community for support.",Business|Programme|Project,skill-and-culture-gaps.technical-supply|skill-and-culture-gaps.cultural-resistance,skill-and-culture-gaps,ai-insights|public-sector|learning-resources|gds|continuous-learning,UK Government,article,
data-governance-toolkit-2025,Data Governance Toolkit: Navigating Data in the Digital Age,https://www.broadbandcommission.org/wp-content/uploads/2025/07/Data-Governance-Toolkit.pdf,,"The Broadband Commission’s toolkit (July 2025) guides governments and organisations in building rights‑based data governance. It explains how to define a clear vision and purpose for data use that aligns with human‑rights law, co‑develop use‑cases with citizens and stakeholders and ensure strategic alignment across agencies. The toolkit also provides checklists on principles (transparency, accountability, fairness and stewardship), roles (chief data officers, regulators and ethics boards) and lifecycle practices such as data minimisation, metadata standards and meaningful consent. These recommendations help policy‑makers design governance frameworks and build public trust.",Business,data-pooling-and-interoperability.incompatible-data-formats|data-pooling-and-interoperability.privacy-and-ip-concerns,data-pooling-and-interoperability,data governance|human rights|policy|stakeholder engagement,Broadband Commission for Sustainable Development,report,
data-sharing-and-innovation-roundtable-2025,Data Sharing and Innovation Roundtable at the House of Lords,(no official publication; internal roundtable PDF),,"This Connected Places Catapult/Digital Twin Hub roundtable (21 July 2025) explored how data sharing can unlock place‑based innovation. Participants agreed that data sharing has evolved from a technical challenge to a strategic imperative; cross‑sector collaboration and narrowly defined use‑cases accelerate progress while infrastructure, standards and skills remain critical enablers. Strategic insights included the need for clear value propositions, trust‑building processes, SME support, flexible regulation and investment in data literacy. Immediate priorities highlighted national data leadership, flexible platforms, SME access, digital infrastructure and fair value exchange.",Business,skill-and-culture-gaps.cultural-resistance|leadership-and-alignment.risk-appetite-and-trust|data-pooling-and-interoperability.privacy-and-ip-concerns|skill-and-culture-gaps.technical-supply,skill-and-culture-gaps|leadership-and-alignment|data-pooling-and-interoperability,data sharing|cross‑sector collaboration|SMEs|place‑based innovation,Connected Places Catapult & Digital Twin Hub,report,
future-of-work-learning-trends-2025,Reimagined Development in the Future of Work: 2025 Learning Trends Perspective,(internal McKinsey R&I Learning Lab report),,"This McKinsey Research & Innovation Learning Lab study synthesises over 45 trend reports to provide a navigation tool for the future of workplace learning. It highlights three interdependent themes: creating fluid development ecosystems, adopting AI responsibly and building resilient, adaptable organisations. The report argues that successful AI adoption requires a human‑centred vision, cross‑functional governance, AI fluency programmes, and rewards for higher‑order skills. It warns that resilience and adaptability must be embedded in work structures to prevent burnout and that employers should support a multigenerational workforce through cross‑generational collaboration and continuous reskilling.",Business,skill-and-culture-gaps.technical-supply,skill-and-culture-gaps,future of work|responsible AI|resilience|learning ecosystems,McKinsey & Company,report,
digital-information-temporary-organizations-2025,Digital Information in Temporary Organizations,https://doi.org/10.1016/j.scaman.2025.101419,,"In this open‑access journal article, Whyte and Eshraghi examine how temporary organisations – such as projects, events and emergency responses – are shaped by digital information. They note that these organisations access information via generic information systems but exhibit two distinctive features: they use digital information that pre‑exists, is generated during, and persists after the temporary project, and this information is transferred across multiple systems. The paper argues that digital information accelerates decision‑making and coordination but raises issues around virtualisation, algorithmic content generation and surveillance, calling for research on how temporary organisations manage digital information across time‑bounded phases.",Business|Project,data-pooling-and-interoperability.privacy-and-ip-concerns,data-pooling-and-interoperability,temporary organisations|digital information|virtualisation|surveillance,doi.org,report,
digital-transformation-ai-imperative-apm-2025,Digital Transformation and the AI Imperative in Public and Private Sector Projects,https://eprints.soton.ac.uk/504431/1/Dacre_Baxter_Dong_Al-Mhdawi_Abeysooriya_Shen_Digital_Transformation_AI_Projects.pdf,,"This Association for Project Management (APM) research report (July 2025) surveys public and private sector project professionals to understand how digital transformation and AI are reshaping project management. Key insights include improved decision‑making through AI‑driven analytics (61% report better decisions), the critical role of data quality and governance, the importance of agile practices and modern digital tools, and the need for strategic project leadership and digital competencies. The report recommends establishing integrated AI platforms with human oversight, adopting data governance frameworks, tailoring agile methodologies to context, investing in digital skills and responsible AI, and measuring the impact of digital transformation on project performance.",Business|Programme|Project,data-pooling-and-interoperability.incompatible-data-formats,data-pooling-and-interoperability,digital transformation|AI in projects|agile|data governance,eprints.soton.ac.uk,report,
